article_name,is_good,view_count
"Narinder Bragta",1,4.6
"David M. Rivera",1,0
"Sul-e Gharbi",1,1.0
"Observatory Inlet",1,2.4680851063829787
"Freaks",1,28.983333333333334
"Dotted quad",1,0
"Hard hexagon model",1,2.9056603773584904
"African knifefish",1,1.0
"Reocities",1,1.8
"Josetxo",1,1.9555555555555555
"Idiopathic epilepsy",1,19.55
"Extension tubes",1,1.3
"Bus deregulation",1,1.3703703703703705
"The Southerner (1945 film)",1,8.2
"Pachyliothrips",1,1.0
"Crobot",1,57.0
"Nuggets II",1,1.3333333333333333
"Piotr Borodin",1,5.383333333333334
"Chloramines",1,104.91666666666667
"Lubomir Hranov",1,1.0
"Edward Oswald (Ted) Marks",1,1.0
"Ahmadi-ye Sarneh",1,0
"Hat-shepsut",1,0
"Phylloneura westermanni",1,1.25
"Ozjasz Thon",1,1.8717948717948718
"Balabekh Karapet",1,2.5384615384615383
"Rana persimilis",1,0
"Constantinian Walls",1,1.0833333333333333
"Black rot (grape)",1,1.2307692307692308
"Sibel Kekilli",1,985.1666666666666
"O.G. Fatu",1,0
"Benzyl ring",1,0
"Gerard Caron",1,0
"Thos Hunt",1,1.7857142857142858
"Serakab",1,1.0
"BlueStar PR",1,1.2
"This Ain't Techno",1,0
"Punewadi",1,1.2941176470588236
"Clinic on Eighteenth Street",1,1.1176470588235294
"Gun Hill (TV film)",1,0
"Methanocella paludicola",1,1.5333333333333334
"Samvedi",1,1.2857142857142858
"Brooks Secondary School",1,2.073170731707317
"This Teacher",1,5.137931034482759
"Equivalent rectangular bandwidth",1,15.65
"Niassa province",1,1.5757575757575757
"Ghosts (1995 series)",1,11.916666666666666
"Akinpelu Oludele Adesola",1,3.290909090909091
"Salentin von Isenburg-Grenzau",1,1.2105263157894737
"Sisterhood of the travelling pants",1,1.1818181818181819
"Eastern leopard toad",1,2.239130434782609
"Carla Signoris",1,18.35
"Spria",1,1.0
"Roseford Court",1,1.4827586206896552
"Party video games",1,1.2
"Kris Kin",1,7.810344827586207
"A Strategic Quest",1,0
"Robert Adam",1,141.18333333333334
"Jyllands-Posten Mohammed",1,1.0
"Poems from the Cosmic Crypt",1,0
"POV: Norowareta Film",1,6.0
"Handsworth High School",1,2.0
"Story (Perfume song)",1,0
"Robert Powell (herpetologist)",1,1.8888888888888888
"Stephen Carson (jockey)",1,1.3
"Dave G. Reichert",1,0
"100 Days of Love",1,158.06666666666666
"Yubiwa",1,2.1463414634146343
"Chosun Navy",1,0
"Harambee Youth Employment Accelerator",1,4.452830188679245
"Chicago Force (football)",1,0
"Black Cadillac (film)",1,33.43333333333333
"National Vocational Competition",1,0
"Colle Malamerenda",1,1.6923076923076923
"Wen-ch'eng",1,0
"Henry Granville Fitzalan-Howard, 14th Duke of Norfolk",1,2.4782608695652173
"Bad Lads Army: Extreme",1,1.0
"Christy Park",1,1.4838709677419355
"Prof. Parviz Jabehdar Maralani",1,0
"Tarquinia National Museum",1,6.45
"High Sheriff of Kilkenny City",1,1.6153846153846154
"Yoav Hofmayster",1,7.15
"Tom Whiteside",1,3.25
"George Grande",1,11.816666666666666
"Kamaitachi (wrestler)",1,2.1
"Vuk draskovic",1,1.1666666666666667
"Khannouchi",1,1.35
"Canby Jones",1,0
"3rd Base Fourth",1,0
"California Regiment",1,1.5
"Admiral Cecille",1,0
"Okçularyeri",1,0
"Adriatic Ionian Euroregion",1,9.866666666666667
"Randy Komisar",1,12.783333333333333
"Carmen Laforet",1,24.583333333333332
"Simon Bagration-Imeretinsky (born 1812)",1,0
"Dunbar Gifted and Talented International Studies Magnet Middle School",1,0
"Ken's FM",1,0
"Vince Dunn",1,61.483333333333334
"Resonant cavity",1,6.6
"Kalinków",1,1.0714285714285714
"Paige Renee Spiranac",1,0
"Uz (son of Aram)",1,4.067796610169491
"20USD",1,1.0
"Take Offs and Put Ons",1,0
"AIR International",1,1.0
"Umar Al Kunduzi",1,0
"Ingrams",1,1.0
"Shao, Liu",1,0
"Road Traffic Collision",1,1.5
"Codex Barberini",1,2.0
"Terror of the Kirghiz",1,0
"Steven Fatsis",1,0
"Mieh Mieh (camp)",1,1.125
"Plătăreşti, Călăraşi",1,0
"West Coast Cooler",1,23.583333333333332
"Thomas Biggs",1,1.7272727272727273
"Midler (JoJo's Bizarre Adventure)",1,1.0
"Susan L. Clark",1,1.0
"Hilloween",1,1.2222222222222223
"Valenciennellus",1,1.6666666666666667
"Salmon River (California)",1,4.033898305084746
"Patent processing backlogs",1,0
"Fairview Plantation",1,5.793103448275862
"La Comision de Calidad Ambiental de Texas",1,0
"Joshua Eric Moore",1,0
"Ai La Trieu Phu",1,1.1428571428571428
"Angelica Aragón",1,1.44
"Masquerades",1,1.2173913043478262
"Multi-Barrel Rocket Launcher",1,1.0
"Lavigny VD",1,0
"John Radcliffe (died 1568)",1,15.816666666666666
"Dieci",1,2.3777777777777778
"Alter Echo (album)",1,3.4489795918367347
"Captain Fantastic & The Brown Dirt Cowboy",1,1.0
"Kasirai Sita",1,0
"Birgit Michels",1,1.925
"Diesel Fuel Marine",1,1.1538461538461537
"Rose of Lancaster",1,1.6097560975609757
"New York-i helyszínelők",1,0
"Octonitrocubane",1,1.3333333333333333
"Joseph McNamara (Rhode Island politician)",1,4.344827586206897
"Whole-of-government approach",1,31.483333333333334
"Langue d'Oc",1,1.4375
"Leo Tuscus",1,5.966666666666667
"Tortional Pendulum",1,1.0
"The Badger",1,1.3333333333333333
"Bot on Wikipedia",1,2.0
"Shungas",1,1.0
"Khan Bahadur Muhammad Siddique Memon",1,1.0
"Spôjmaï Zariâb",1,2.057142857142857
"Tsuyoshi Satou",1,1.0
"Pierog",1,1.0
"Rookie Jones",1,1.0
"Dahong denglong gaogao gua",1,0
"Canton Uprising",1,1.9019607843137254
"Kamaeuraoan Te I-Kiribati",1,0
"Jorgen Kieler",1,0
"KiKA",1,6.883333333333334
"Médio Tejo Subregion",1,1.5
"Baltissare Castiglione",1,1.3333333333333333
"Swanhilde",1,1.0
"James Francis Howard, Jr.",1,0
"Lycée français René-Descartes",1,0
"Francis B. Austin House",1,1.6818181818181819
"Coralia López",1,1.6363636363636365
"U Give It Up",1,0
"Estradiol cyclohexylcarboxylate",1,0
"Baron de La Brede et de Montesquieu",1,0
"Isoaimo, Peter",1,0
"Gur Mosheiov",1,1.1904761904761905
"Mortimore, Michael",1,0
"Herald Cycle Tour",1,1.3333333333333333
"Sheriff Mountain",1,1.0869565217391304
"Oscar Schiele",1,1.2727272727272727
"Massena (1895)",1,0
"Ashtadyayi",1,1.5
"Jerrold B. Tunnell",1,2.5660377358490565
"Pallake",1,12.533333333333333
"Spyan ras gzigs",1,0
"Brian McDermott (rugby league)",1,36.416666666666664
"Non-material",1,1.0
"Bryse Peaks",1,1.0909090909090908
"Charles MacAndrew, 1st Baron MacAndrew",1,2.577777777777778
"Bionicle: Quest for Mata Nui",1,30.95
"Piccolo Jr Saga",1,0
"Morris Cooper S",1,1.5769230769230769
"DÄ",1,0
"Aal ash-Shaikh",1,1.0
"Youssef Obama",1,20.633333333333333
"Talking Machine World & Radio Music Merchant.",1,0
"Contigroup",1,0
"Belfast West (Dail Eireann constituency)",1,0
"Mt. Olympus Water & Theme Park",1,30.083333333333332
"Skill (roleplaying games)",1,1.0
"HMS Warrior",1,16.166666666666668
"Madineh",1,1.434782608695652
"Irene-Fournier Ecological Reserve",1,0
"Colt Cloverleaf",1,0
"Jarib",1,2.0625
"Jean-Gustave Bourbouze",1,1.6470588235294117
"TARLUPADU",1,0
"Dale River (Boyne)",1,1.3571428571428572
"Kurtziella accinctus",1,1.25
"European Episode",1,1.4473684210526316
"Antuofermo",1,0
"Conservatoire Poitiers",1,0
"Caconemobius",1,2.210526315789474
"By-election in Chesterfield",1,0
"Meir Wieseltier",1,2.739130434782609
"Harry Källström",1,3.4444444444444446
"Daruelfuenun'u Istanbul",1,0
"The Day of the Robot",1,15.3
"Fishheads",1,1.0
"Skandapurana",1,1.2857142857142858
"Tenchi Muyou! Game Hen",1,1.542857142857143
"William Haymond",1,1.0
"Éamonn an Chnuic",1,0
"Bedford Park, Ill.",1,0
"Roesleria hypogaea",1,0
"Hans Severin Jelstrup",1,1.4782608695652173
"SA-23 Gladiator",1,2.1136363636363638
"Macromedia Dreamweaver 8",1,0
"Tokaido Shinkansen",1,187.55
"Our Brand is Crisis",1,1.0
"Jesus – The Film (1986 film)",1,0
"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",1,1.125
"Brandon&Leah",1,0
"Gonabad",1,10.316666666666666
"Parsons King Johnson",1,1.6551724137931034
"Farnborough, England",1,0
"Lake San Floriano",1,0
"Thathi",1,2.0652173913043477
"Jackie D'Amico",1,206.8
"Barbara Thorn",1,38.35
"Bishop of Osnabruck",1,1.0
"China mallavaram",1,0
"Silivio Vidal Leite Ribeiro",1,0
"Jeans, David",1,0
"Tsjaka",1,1.95
"Rolling Stone Middle East",1,0
"Pampuri, Richard",1,0
"Von B'Vsean Miller",1,1.0
"White goldenrod",1,1.5
"Meaningful Use",1,1.380952380952381
"Nong Jik Halt railway station",1,1.0
"Palma Soriano",1,5.333333333333333
"Lois Comes Out of Her Shell",1,55.81666666666667
"Alfred W. Crompton",1,2.275
"Archibald Thornton",1,1.125
"Delta DASH",1,0
"Hey Jessie",1,1.4166666666666667
"Earl Bales Park",1,10.683333333333334
"Home Sweet Home 1993",1,0
"Witold Bańka",1,39.416666666666664
"Noli Me Tangere(novel)",1,0
"Mort the Chicken",1,22.25
"CCSRP",1,0
"Bikem",1,1.6
"Emilio J. Pasarell",1,1.5384615384615385
"David Kiefer",1,5.071428571428571
"Patricia Remak",1,1.5555555555555556
"Lysiana",1,1.6857142857142857
"PowerGen Wind Farm",1,0
"Insurgentes metro station",1,4.4
"One Pennsylvania Plaza",1,0
"Berry, Paul",1,0
"Malgorzata Sobieraj",1,1.0
"Adobado",1,3.9298245614035086
"McNeil River",1,3.7758620689655173
"Congregation of Loreto",1,1.0
"Zenith Youth Theatre Company",1,2.5434782608695654
"Bishop Grandin",1,0
"Smudged Hairstreak",1,0
"Vladimir Aptiaouri",1,1.0
"Suzuki GS500",1,128.78333333333333
"Red-bellied malimbe",1,1.8695652173913044
"Lakeside Hammers",1,3.9464285714285716
"Zill-e-Shah",1,11.316666666666666
"LSRS",1,2.0
"Anthony Peter "Tony" Clement, PC, MP",1,0
"Madonna Enthroned with the Child (Cima da Conegliano)",1,1.1
"Momodu Maligie",1,2.0277777777777777
"MFA Program for Poets & Writers",1,2.073170731707317
"Pałac Bydgoszcz",1,2.611111111111111
"Colette Trudeau",1,6.9
"Coffee root mealybug",1,0
"Seaport Innovation District",1,0
"Auto Zone",1,1.4285714285714286
"Jackson Creek Dam",1,1.0
"San Cristobal Myiagra flycatcher",1,0
"Red bean soup",1,18.033333333333335
"Progressive Conservative Party of Prince Edward Island leadership elections",1,1.6666666666666667
"Volker Sommer",1,2.357142857142857
"Le Sidaner",1,1.0
"Gabriel Pierre",1,1.4285714285714286
"Merillon Avenue station",1,8.666666666666666
"Claudia Nolte",1,6.333333333333333
"Eric Joyce (footballer)",1,1.25
"212 (Azealia Banks song)",1,1.2
"Asahishō",1,1.2
"Varahi River",1,28.083333333333332
"Edict of Emancipation",1,1.6071428571428572
"Meximullet",1,0
"Attitti Lake",1,1.9473684210526316
"Eclipse Award for Outstanding Two-Year-Old Male Horse",1,1.0
"Please Don't Do It In Here",1,0
"Plain-pouched Hornbill",1,1.0
"Inter Women",1,1.3703703703703705
"Runaway film production",1,1.0
"0 Story",1,1.0
"Al-Aḥzāb",1,119.5
"Fine Music Radio",1,4.068965517241379
"Dr. X",1,1.375
"A-League (Australia)",1,1.3333333333333333
"Chateau Saint-Sixte",1,0
"Tilbrook Point",1,1.0
"Ben Fitzpatrick",1,1.4705882352941178
"Stephen Williams",1,5.719298245614035
"Pamplin Media",1,1.0
"Karin Riediger",1,1.5517241379310345
"Jianhu Nuexia",1,0
"Cerasus fruticosa",1,0
"Everything bagel",1,169.1
"Xenospiza baileyi baileyi",1,0
"Andrzej Wronski",1,1.2857142857142858
"The Girl Who Fell from the Sky",1,1.9069767441860466
"Great Kubu Regency",1,0
"Gamru Port",1,0
"Jindřich Pokorný",1,1.2727272727272727
"Vidyadhar Oak",1,0
"Bimetallic nanoparticles",1,1.0
"Caverns of sonora",1,1.2857142857142858
"La'bi",1,0
"Pothouses",1,1.2
"Mace Griffin: Bounty Hunter",1,29.016666666666666
"Buffalo Zoo",1,16.133333333333333
"Triangle shirtwaist factory fire",1,2.0
"Meanwood Beck",1,3.456140350877193
"Aryeh Vardi",1,0
"Angelo Poffo",1,191.5
"Henri Richard",1,176.15
"Maykopski Raion",1,0
"Joan Fitzalan",1,4.551724137931035
"Parietaria (moth)",1,0
"King Mez",1,6.933333333333334
"Oberems",1,1.7027027027027026
"Sir John Everett Millais",1,3.6491228070175437
"Microsoft Corp. v. Lucent Techs., Inc.",1,0
"Dion Timmer",1,1.4545454545454546
"Ben Simons (politician)",1,3.4423076923076925
"Genesis Electrified GV70",1,19.066666666666666
"John Howard (cyclist)",1,9.133333333333333
"Erbert & Gerbert's",1,17.516666666666666
"Fabio Braz",1,0
"Antillean cave rail",1,4.406779661016949
"Duzdag, Bozuyuk",1,0
"George Lindsay-Crawford, 22nd Earl of Crawford",1,3.122448979591837
"Rotoroa",1,1.2
"Gmina Nawojowa",1,1.25
"Jay And Silent Bob Strike Back",1,1.2727272727272727
"Paolo Gennari",1,1.0
"CSM Studențesc Iași",1,1.4444444444444444
"AJ Saly",1,0
"Joseph B. Hayden",1,2.5
"Cipherpunk",1,1.1538461538461537
"The Astronauts (film)",1,3.3137254901960786
"Mt. Olive Methodist Episcopal Church",1,1.2307692307692308
"S1 Yingbin Expressway (Shanghai)",1,0
"FN Model 1935",1,1.0
"Trappes riots",1,0
"Club Atletico Trinidad",1,1.2
"Natalie's Rap",1,1.3529411764705883
"Dean Rusk Middle School",1,1.7037037037037037
"Karma (Robin Eubanks album)",1,1.9767441860465116
"Áno Kastrítsion",1,0
"Frank the Baptist",1,3.372549019607843
"Endogeneity (applied statistics)",1,1.0
"Gopal Prasad Sharma",1,2.3137254901960786
"Survivor (fifteen album)",1,1.2380952380952381
"Kosice-vidiek district",1,0
"C.R.A.Z.Y",1,3.361111111111111
"Soldaditos de Pavía",1,4.830508474576271
"Bilaspur-Leh line",1,1.0
"Jane Goldman",1,978.35
"Higashikuninomiya naruhiko",1,1.0
"Jeremy G. Butler",1,1.90625
"Agriades orbitulus orbitulus",1,0
"Gerber Scientific, Inc.",1,1.0
"Feodal",1,1.368421052631579
"Peregrine Bertie (senior)",1,1.9743589743589745
